,ci_rsfes,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfes,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
24,0.880108992,0.874659401,0.888283379,0.841961853,0.889645777,,0.020728063,0.074380321,0.017154865,0.029978824,0.019025575
25,0.862944162,0.851099831,0.844331641,0.83248731,0.830795262,,0.032525659,0.077229237,0.039658379,0.024648554,0.033214633
26,0.825242718,0.826629681,0.833564494,0.821081831,0.807212205,,0.031190745,0.089583328,0.03767609,0.026433014,0.031761851
27,0.842944785,0.849079755,0.856441718,0.820858896,0.829447853,,0.026098312,0.063534141,0.030304634,0.02641753,0.029414568
28,0.821487603,0.808264463,0.771900826,0.842975207,0.821487603,,0.0225945,0.070900648,0.037746002,0.022947021,0.021698119
29,0.829446064,0.816326531,0.810495627,0.827988338,0.826530612,,0.02453722,0.083850084,0.030524019,0.01746645,0.025794401
30,0.906389302,0.912332838,0.901931649,0.87667162,0.919762259,,0.020725693,0.053605452,0.020256488,0.033276886,0.020605247
31,0.795081967,0.786885246,0.773224044,0.769125683,0.801912568,,0.028587739,0.083497098,0.031631202,0.028405174,0.029230481
32,0.853246753,0.84025974,0.81038961,0.854545455,0.838961039,,0.026612657,0.08417934,0.034217248,0.028459375,0.028772128
33,0.879194631,0.860402685,0.851006711,0.860402685,0.888590604,,0.030682158,0.096576528,0.042846931,0.022662186,0.031991227
34,0.837483617,0.796854522,0.80078637,0.809960682,0.861074705,,0.026190238,0.086653451,0.025658579,0.029454833,0.025961731
35,0.839609484,0.80055788,0.815899582,0.821478382,0.845188285,,0.029918363,0.094875571,0.048032457,0.031433182,0.031349306
36,0.799475754,0.777195282,0.777195282,0.802096986,0.832241153,,0.031030024,0.117614348,0.040127134,0.030828044,0.029678992
37,0.877428999,0.853512706,0.878923767,0.831091181,0.852017937,,0.027410958,0.076796682,0.032871247,0.028295645,0.029551782
38,0.786452354,0.774971297,0.802525832,0.74282434,0.768082664,,0.030999697,0.08949237,0.032812452,0.030240755,0.034433534
39,0.830188679,0.801161103,0.81712627,0.806966618,0.843251089,,0.029008117,0.09517903,0.033233831,0.02418334,0.033539319
40,0.832474227,0.805412371,0.844072165,0.824742268,0.853092784,,0.023240896,0.11640929,0.028169889,0.029090908,0.024582384
41,0.812765957,0.80106383,0.80106383,0.785106383,0.817021277,,0.032678173,0.08978877,0.039689893,0.028567556,0.034224967
42,0.84494382,0.811235955,0.828089888,0.808988764,0.851685393,,0.036137447,0.094899168,0.046289308,0.04311295,0.037813241
43,0.820610687,0.802798982,0.801526718,0.824203822,0.830788804,,0.029631035,0.080104055,0.036201377,0.03447842,0.03052316
44,0.778761062,0.785840708,0.778761062,0.778761062,0.762831858,,0.02226612,0.057781818,0.028053467,0.025168228,0.023615127
45,0.908783784,0.880067568,0.896959459,0.902027027,0.920608108,,0.018102017,0.057101878,0.022236902,0.020975625,0.018744829
46,0.893034826,0.848258706,0.860696517,0.874378109,0.895522388,,0.02367734,0.086591919,0.02778354,0.028589727,0.022340256
47,0.884779516,0.844950213,0.856330014,0.870554765,0.86059744,,0.01914848,0.066794985,0.018216957,0.027959864,0.019062986
48,0.865090403,0.8581363,0.83310153,0.806675939,0.867872045,,0.027694142,0.102087651,0.034274699,0.025103959,0.026502309
49,0.85,0.85,0.813793103,0.834196891,0.85862069,,0.019712062,0.067735075,0.026584878,0.023003568,0.018375801
50,0.764305177,0.791553134,0.738419619,0.723433243,0.777929155,,0.028338213,0.079679078,0.033595943,0.027883524,0.029453096
