,ci_rsfse,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfse,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
24,0.645184304,0.604042806,0.57098692,0.566365366,0.628686965,,0.009072153,0.017333639,0.009173475,0.009685943,0.010084328
25,0.696071513,0.677958127,0.564573042,0.613229755,0.700541049,,0.007722611,0.015153929,0.008817962,0.010258728,0.008390854
26,0.700880503,0.659119497,0.491823899,0.620689655,0.686037736,,0.007748314,0.015086958,0.009481871,0.009328509,0.008002779
27,0.618987976,0.637024048,0.505761523,0.530740276,0.650463543,,0.009247819,0.016318213,0.010260242,0.00868792,0.009482722
28,0.688743527,0.683019896,0.546742982,0.631406761,0.676478605,,0.007762093,0.014490247,0.008601927,0.009294394,0.00840683
29,0.65029656,0.6514828,0.53024911,0.620156881,0.635112693,,0.009363256,0.017814035,0.010595701,0.008612928,0.010535727
30,0.677072927,0.681318681,0.561938062,0.636931534,0.684407796,,0.009454803,0.016260698,0.00967913,0.010024886,0.01045634
31,0.637252164,0.611561016,0.566601508,0.557541899,0.630270874,,0.008370535,0.014947914,0.008398254,0.00878717,0.009563674
32,0.611300026,0.599529166,0.455924666,0.536508767,0.629513344,,0.008869393,0.017323845,0.009695572,0.010572523,0.009154406
33,0.684350133,0.687726067,0.529539426,0.629047849,0.705088015,,0.008775907,0.015292894,0.008965812,0.00979066,0.009937396
34,0.671569938,0.651511099,0.527948649,0.645152651,0.699036918,,0.008789416,0.016387812,0.008630133,0.00933512,0.009493989
35,0.631038798,0.607509387,0.525406758,0.565588162,0.622339093,,0.009811133,0.017022633,0.010367939,0.009401441,0.010461116
36,0.633257403,0.620349279,0.566185776,0.609434441,0.627689193,,0.011792495,0.01950749,0.012801355,0.01073673,0.012765195
37,0.664522278,0.649749821,0.548010484,0.589780325,0.670955444,,0.007801119,0.01431294,0.008578376,0.010084137,0.008436874
38,0.630063966,0.627132196,0.507995736,0.56231652,0.64756065,,0.009861551,0.017252512,0.010064999,0.00824503,0.010413755
39,0.702244259,0.667275574,0.52374739,0.645506792,0.716523101,,0.009195725,0.016543121,0.01034659,0.007494784,0.009628891
40,0.673852397,0.644686787,0.510271367,0.62195122,0.689322851,,0.009757228,0.019085471,0.009842375,0.009414256,0.010310645
41,0.649077869,0.636782787,0.587090164,0.592544987,0.636526639,,0.007789576,0.014810987,0.007532322,0.01029753,0.008688651
42,0.683946488,0.694218825,0.574534161,0.641166627,0.690874343,,0.009592125,0.01662421,0.010489984,0.008777599,0.010163151
43,0.668655942,0.653087701,0.550856253,0.630513752,0.671510119,,0.008289884,0.013857349,0.010324983,0.008049776,0.008461244
44,0.672603074,0.663088558,0.533544767,0.63436661,0.662844596,,0.010925125,0.017904671,0.011380415,0.007118864,0.011353506
45,0.676525822,0.634741784,0.547652582,0.638028169,0.658215962,,0.01091143,0.018815061,0.011864302,0.00794462,0.011550007
46,0.680471822,0.647968545,0.524508519,0.678899083,0.678374836,,0.008948562,0.016917962,0.009494317,0.008507239,0.009745616
47,0.732087912,0.709450549,0.513406593,0.653693931,0.735384615,,0.008032815,0.014551641,0.01010393,0.009290048,0.00834277
48,0.643054509,0.621200703,0.571966843,0.574264891,0.645315247,,0.009862907,0.018543662,0.010740033,0.007938031,0.010695802
49,0.663398693,0.639768728,0.59653092,0.581424616,0.665661136,,0.009561897,0.016219249,0.010313519,0.009400396,0.010119733
50,0.672494781,0.642223382,0.557150313,0.606210856,0.657620042,,0.00838056,0.015578851,0.00902347,0.007428668,0.009676412
51,0.647540984,0.632940574,0.563268443,0.607536529,0.642582629,,0.009204258,0.016372331,0.009215008,0.009962568,0.010129431
52,0.663105413,0.613247863,0.517094017,0.60472973,0.659225837,,0.008517398,0.016101697,0.010185537,0.00911261,0.008980969
53,0.638896259,0.651897055,0.494030247,0.543934165,0.646325285,,0.009638338,0.017250536,0.010049807,0.008952099,0.010438698
54,0.642638818,0.663015792,0.593988793,0.616445352,0.673968416,,0.007855398,0.013856214,0.008890901,0.009906787,0.007971799
