,ci_rsfes,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfes,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
64,0.754545455,0.784848485,0.745454545,0.739393939,0.757575758,,0.006775506,0.008992567,0.008523892,0.006842409,0.006951985
65,0.733333333,0.744927536,0.727536232,0.730434783,0.753623188,,0.006640001,0.010033801,0.008250097,0.007059575,0.006994207
66,0.805714286,0.794285714,0.737142857,0.768571429,0.8,,0.006316997,0.007519234,0.008229582,0.00914827,0.00619263
67,0.693290735,0.664536741,0.738019169,0.699680511,0.642172524,,0.011135724,0.016253573,0.011547113,0.008811828,0.012851242
68,0.721362229,0.687306502,0.708978328,0.708978328,0.721362229,,0.00779682,0.011349922,0.009610505,0.008613071,0.008576023
69,0.663580247,0.638888889,0.632716049,0.611111111,0.635802469,,0.007775899,0.011687871,0.009089793,0.013104284,0.010553274
70,0.701754386,0.728070175,0.68128655,0.666666667,0.692982456,,0.006408617,0.007871955,0.006979359,0.00969792,0.006774493
71,0.657657658,0.696696697,0.63963964,0.641566265,0.630630631,,0.007379791,0.008945963,0.008372947,0.010009653,0.008100361
72,0.700657895,0.680921053,0.707236842,0.75,0.697368421,,0.00592657,0.008031135,0.006462412,0.010351135,0.007340532
73,0.711370262,0.749271137,0.679300292,0.711370262,0.717201166,,0.008332461,0.008035017,0.009275288,0.007054699,0.008142959
74,0.709090909,0.721212121,0.7,0.7,0.739393939,,0.009968895,0.011558516,0.010613728,0.007700954,0.010605456
75,0.674626866,0.617910448,0.713432836,0.674626866,0.695522388,,0.009580879,0.01194403,0.010023421,0.009185818,0.010463847
76,0.729230769,0.732307692,0.710769231,0.74382716,0.726153846,,0.006871005,0.008762776,0.008980746,0.009020396,0.007302926
77,0.698507463,0.728358209,0.6,0.680597015,0.67761194,,0.005831957,0.007476698,0.007566943,0.008662418,0.006049872
78,0.796875,0.790625,0.796875,0.765625,0.78125,,0.007582056,0.009689307,0.01072864,0.006079503,0.008392201
79,0.80060423,0.755287009,0.758308157,0.794561934,0.764350453,,0.008263971,0.009527019,0.011858807,0.005486738,0.008588941
