,ci_rsfes,ci_rsfl,ci_rsfls,ci_coxlasso,ci_coxridge,,ibs_rsfes,ibs_rsfl,ibs_rsfls,ibs_coxlasso,ibs_coxridge
55,0.615631263,0.626853707,0.60761523,0.591182365,0.630861723,,0.13907666,0.165507008,0.157575133,0.166374517,0.159813246
56,0.630610268,0.583144979,0.63803681,NA,0.646432031,,0.175965143,0.166697669,0.172974997,NA,0.17097404
57,0.635235732,0.587779156,0.586848635,0.523573201,0.668114144,,0.189069147,0.191028406,0.20900436,0.193058391,0.16669323
58,0.676038062,0.567474048,0.664359862,0.620943315,0.687716263,,0.132128925,0.173765509,0.150713011,0.15526452,0.145571074
59,0.553662692,0.567972743,0.516524702,0.51890971,0.523679727,,0.159039426,0.171522558,0.175665186,0.180749826,0.185614781
60,0.522097378,0.486891386,0.545318352,0.543071161,0.557303371,,0.16527142,0.184354723,0.156082875,0.209156573,0.198090146
61,0.593330245,0.575266327,0.525706346,0.615562761,0.5942566,,0.136399367,0.175177224,0.155698109,0.153603498,0.146422176
62,0.629420505,0.548291233,0.567013373,0.518573551,0.617830609,,0.205144833,0.201771724,0.221268956,0.191998069,0.183691717
63,0.589285714,0.602484472,0.526785714,0.545031056,NA,,0.166640532,0.152731626,0.151146453,0.187652872,NA
64,0.578005962,0.531632991,0.569725075,0.596886386,0.586949321,,0.167630468,0.188671261,0.186811007,0.172872576,0.175284691
65,0.598407281,0.585513841,0.631778536,0.646188851,0.650360258,,0.164283519,0.16903074,0.169776018,0.171783745,0.169197585
66,0.593908629,0.591201354,0.568527919,0.577326565,0.638240271,,0.149574656,0.160670815,0.159824961,0.166794967,0.159181936
67,0.613106257,0.5712699,0.686042207,0.536097742,0.62828582,,0.144606928,0.172663709,0.168649022,0.18648182,0.160393499
68,0.625429553,0.589347079,0.550859107,0.559793814,0.620962199,,0.16221363,0.163319517,0.163009195,0.190347828,0.176249027
69,0.636729762,0.589609344,0.612162706,0.565445026,0.62867499,,0.131940938,0.154969242,0.148494166,0.166076492,0.159445195
70,0.615037109,0.542755728,0.602775089,NA,0.633430139,,0.177757138,0.183882745,0.186673364,NA,0.18023602
71,0.658939234,0.58517738,0.67088163,NA,0.666666667,,0.140090856,0.164904635,0.154528585,NA,0.155449546
72,0.619481941,0.529733674,0.600145932,NA,0.643925575,,0.155134177,0.183763498,0.172903758,NA,0.169445485
73,0.637562366,0.537776194,0.624732716,NA,0.641838917,,0.144062135,0.173704693,0.161899151,NA,0.160270228
74,0.655960029,0.640970735,0.579229122,NA,0.650249822,,0.157178283,0.15943352,0.165027854,NA,0.166904497
75,0.607869742,0.594301221,0.607530529,NA,0.635006784,,0.173518825,0.178366764,0.186277155,NA,0.173201546
76,0.573474002,0.537302185,0.579879427,0.57535795,0.604370761,,0.145136254,0.16154915,0.147773692,0.174743969,0.168832777
77,0.642247511,0.596728307,0.611664296,0.561522048,0.640113798,,0.154037221,0.166037539,0.165549252,0.175692587,0.165527361
78,0.622986037,0.54887218,0.61188686,NA,0.627998568,,0.144221076,0.172894395,0.165417413,NA,0.167854387
